Job Title,Job Description,Platform,OnSite/Remote/Hybrid,Country,Salary Min,Salary Max,Candidates,Company,Selected_for_interview,Rejected,Hired,Started,Role_start_date,Candidate_start_date,Started Salary,Currency,Over_budget,Recruiter,Hiring Manager,Language required
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Google,Hybrid,Bulgaria,3000,5000,81,Atos,65,45,19,5,8/14/2024,11/4/2024,3310,BGN,No,Alexandru Marin,Alexandru Marin,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Google,Remote,Romania,4500,9500,87,Eviden,70,49,19,5,10/15/2024,11/16/2024,7670,RON,No,Alexandru Marin,Alexandru Nikolov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Bulgaria,2500,6200,48,NTT Data,38,27,12,3,1/23/2024,6/23/2024,3461,BGN,No,Alexandru Nistor,Alexandru Nikolov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",bestjobs.eu,Onsite,Romania,4000,10000,31,Accenture,25,17,7,2,7/15/2024,9/4/2024,4268,RON,No,Alexandru Popescu,Alexandru Nistor,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",Google,Onsite,Romania,4500,9500,79,Salesforce,63,44,19,5,3/31/2024,10/19/2024,7768,RON,No,Alexandru Radu,Alexandru Nistor,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",bestjobs.eu,Onsite,Romania,4500,9500,2,Dell Technologies,2,1,0,0,9/26/2024,11/6/2024,4751,RON,No,Alexandru Stoica,Alexandru Popescu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",bestjobs.eu,Remote,Bulgaria,2600,8300,29,Hewlett Packard,23,16,7,2,8/7/2024,12/1/2024,3654,BGN,No,Alexandru Stoica,Alexandru Popescu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Hybrid,Romania,5000,10000,62,TCS,50,35,15,4,5/21/2024,11/17/2024,7599,RON,No,Alexandru Toma,Alexandru Stoica,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Hybrid,Bulgaria,2300,4800,69,Capgemini,55,39,17,4,6/28/2024,11/3/2024,3403,BGN,No,Alexandru Toma,Alexandru Stoyanov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Romania,4500,9500,31,DXC Technology,25,17,7,2,7/27/2024,9/22/2024,5853,RON,No,Andrei Borisov,Alexandru Stoyanov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Remote,Romania,5000,10000,90,Infosys,72,50,22,6,4/25/2024,10/1/2024,7004,RON,No,Andrei Borisov,Alexandru Todorov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Onsite,Romania,4500,9500,98,Cognizant,78,55,24,6,1/30/2024,10/8/2024,6155,RON,No,Andrei Borisov,Alexandru Todorov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Jobs.bg,Onsite,Romania,4500,9500,77,Fujitsu,62,43,18,5,6/3/2024,9/26/2024,7911,RON,No,Andrei Borisov,Alexandru Todorov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",Google,Onsite,Bulgaria,2200,5700,7,VMware,6,4,2,0,12/27/2024,10/23/2025,4259,BGN,No,Andrei Dimov,Alexandru Toma,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",ejobs.ro,Remote,Bulgaria,2600,8300,27,SAP,22,15,6,2,7/15/2024,8/16/2024,4072,BGN,No,Andrei Dimov,Alexandru Toma,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Remote,Romania,4500,9500,74,Hitachi,59,41,18,5,4/27/2024,10/5/2024,8296,RON,No,Andrei Dimov,Alexandru Vasiliev,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",Google,Hybrid,Bulgaria,2200,5700,75,Nokia,60,42,18,5,1/25/2024,4/11/2024,3405,BGN,No,Andrei Dimov,Alexandru Vasiliev,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Romania,4500,9500,11,Ericsson,9,6,3,1,4/26/2024,11/3/2024,8416,RON,No,Andrei Dimov,Andrei Borisov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",bestjobs.eu,Remote,Romania,4000,10000,86,Wipro,69,48,21,5,6/1/2024,7/16/2024,5577,RON,No,Andrei Georgescu,Andrei Dimov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",bestjobs.eu,Remote,Romania,4500,9500,55,VMware,44,31,13,3,7/4/2024,10/7/2024,7382,RON,No,Andrei Georgescu,Andrei Dumitru,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Google,Onsite,Bulgaria,3000,5000,12,Red Hat,10,7,3,1,8/7/2024,11/30/2024,4381,BGN,No,Andrei Georgiev,Andrei Ionescu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Jobs.bg,Remote,Romania,4500,9500,51,ServiceNow,41,29,12,3,6/14/2024,9/12/2024,7126,RON,No,Andrei Ionescu,Andrei Marin,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",Google,Onsite,Romania,4500,9500,98,LG Electronics,78,55,24,6,6/23/2024,8/22/2024,8399,RON,No,Andrei Ionescu,Andrei Marin,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",bestjobs.eu,Remote,Bulgaria,2600,8300,32,Google,26,18,8,2,8/18/2024,10/23/2024,4099,BGN,No,Andrei Ionescu,Andrei Marin,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Jobs.bg,Onsite,Bulgaria,2600,8300,53,Microsoft,42,30,13,3,8/15/2024,12/13/2024,3773,BGN,No,Andrei Ionescu,Andrei Marin,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",ejobs.ro,Hybrid,Romania,4500,9500,21,Apple,17,12,5,1,10/15/2024,12/5/2024,5159,RON,No,Andrei Ivanov,Andrei Marin,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Hybrid,Bulgaria,2600,8300,18,IBM,14,10,4,1,2/6/2024,10/7/2024,3578,BGN,No,Andrei Kirov,Andrei Nikolov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",ejobs.ro,Onsite,Bulgaria,2300,7500,69,Amazon,55,39,17,4,8/6/2024,9/30/2024,2642,BGN,No,Andrei Marin,Andrei Nikolov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",ejobs.ro,Hybrid,Bulgaria,2500,6200,21,Cisco,17,12,5,1,9/8/2024,10/22/2024,4099,BGN,No,Andrei Petrov,Andrei Nikolov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",Google,Hybrid,Romania,4000,10000,72,Oracle,58,40,17,4,6/26/2024,12/13/2024,7678,RON,No,Andrei Radu,Andrei Nikolov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",Google,Remote,Romania,4500,9500,59,Intel,47,33,14,4,1/17/2024,6/14/2024,7970,RON,No,Andrei Stoyanov,Andrei Nikolov,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Jobs.bg,Onsite,Bulgaria,2600,8300,15,SAP,12,8,4,1,8/11/2024,11/15/2024,3658,BGN,No,Andrei Stoyanov,Andrei Nistor,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",ejobs.ro,Remote,Romania,5000,10000,15,Adobe,12,8,4,1,5/5/2024,12/27/2024,7716,RON,No,Andrei Stoyanov,Andrei Petrov,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",ejobs.ro,Onsite,Romania,4500,9500,29,Atos,23,16,7,2,2/17/2024,12/18/2024,6333,RON,No,Andrei Todorov,Andrei Popescu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Google,Hybrid,Romania,4500,9500,12,Eviden,10,7,3,1,4/11/2024,11/25/2024,4840,RON,No,Andrei Todorov,Andrei Popescu,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Onsite,Bulgaria,2300,4800,12,NTT Data,10,7,3,1,1/17/2024,7/13/2024,2671,BGN,No,Andrei Vasiliev,Andrei Popescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Hybrid,Bulgaria,2500,6200,40,Accenture,32,22,10,2,5/18/2024,8/24/2024,3771,BGN,No,Boris Borisov,Andrei Popescu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Remote,Bulgaria,3000,5000,30,Salesforce,24,17,7,2,12/2/2024,10/1/2025,4542,BGN,No,Boris Borisov,Andrei Popescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Google,Hybrid,Bulgaria,2500,6200,32,Dell Technologies,26,18,8,2,9/13/2024,11/13/2024,2732,BGN,No,Boris Constantin,Andrei Popescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Onsite,Bulgaria,2500,6200,18,Hewlett Packard,14,10,4,1,10/1/2024,12/8/2024,4876,BGN,No,Boris Constantin,Andrei Radu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Remote,Bulgaria,2500,6200,58,TCS,46,32,14,4,7/25/2024,12/17/2024,4404,BGN,No,Boris Constantin,Andrei Radu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",LinkedIn,Onsite,Romania,5000,10000,92,Capgemini,7,5,2,1,12/28/2024,8/3/2025,8723,RON,No,Boris Dimov,Andrei Radu,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",ejobs.ro,Onsite,Romania,4000,10000,9,DXC Technology,7,5,2,1,5/29/2024,12/1/2024,4383,RON,No,Boris Dimov,Andrei Radu,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Remote,Bulgaria,2300,4800,5,Infosys,4,3,1,0,7/17/2024,12/4/2024,4020,BGN,No,Boris Dumitru,Andrei Radu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Remote,Romania,4500,9500,1,Cognizant,1,1,0,0,1/2/2024,9/17/2024,8927,RON,No,Boris Dumitru,Andrei Radu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",bestjobs.eu,Hybrid,Bulgaria,2600,8300,75,Fujitsu,60,42,18,5,3/30/2024,11/6/2024,3463,BGN,No,Boris Georgescu,Andrei Stoica,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Hybrid,Bulgaria,3000,5000,79,VMware,63,44,19,5,1/21/2024,9/5/2024,3470,BGN,No,Boris Georgiev,Andrei Todorov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",ejobs.ro,Remote,Romania,4500,9500,68,SAP,54,38,16,4,10/22/2024,12/16/2024,8057,RON,No,Boris Georgiev,Andrei Todorov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Onsite,Bulgaria,2300,4800,13,Hitachi,10,7,3,1,12/13/2024,8/12/2025,3579,BGN,No,Boris Georgiev,Andrei Todorov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Hybrid,Romania,4000,10000,68,Nokia,54,38,16,4,6/23/2024,10/12/2024,4322,RON,No,Boris Ionescu,Andrei Toma,English
